PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35973718","Cystic Fibrosis Modulator Therapies","Jia S, Taylor-Cousar JL.","Annu Rev Med. 2023 Jan 27;74:413-426. doi: 10.1146/annurev-med-042921-021447. Epub 2022 Aug 16.","Jia S","Annu Rev Med","2023","2022/08/16","","","10.1146/annurev-med-042921-021447"
"35084992","Clinical Phenotypes of Cystic Fibrosis Carriers","Polgreen PM, Comellas AP.","Annu Rev Med. 2022 Jan 27;73:563-574. doi: 10.1146/annurev-med-042120-020148.","Polgreen PM","Annu Rev Med","2022","2022/01/27","PMC8884701","NIHMS1776077","10.1146/annurev-med-042120-020148"
"33526571","Cystic Fibrosis","Dickinson KM, Collaco JM.","Pediatr Rev. 2021 Feb;42(2):55-67. doi: 10.1542/pir.2019-0212.","Dickinson KM","Pediatr Rev","2021","2021/02/02","PMC8972143","NIHMS1784541","10.1542/pir.2019-0212"
"31772069","Cystic Fibrosis Lung Disease: An Overview","Turcios NL.","Respir Care. 2020 Feb;65(2):233-251. doi: 10.4187/respcare.06697. Epub 2019 Nov 26.","Turcios NL","Respir Care","2020","2019/11/28","","","10.4187/respcare.06697"
"36755044","Future therapies for cystic fibrosis","Allen L, Allen L, Carr SB, Davies G, Downey D, Egan M, Forton JT, Gray R, Haworth C, Horsley A, Smyth AR, Southern KW, Davies JC.","Nat Commun. 2023 Feb 8;14(1):693. doi: 10.1038/s41467-023-36244-2.","Allen L","Nat Commun","2023","2023/02/08","PMC9907205","","10.1038/s41467-023-36244-2"
"34557648","A review of cystic fibrosis: Basic and clinical aspects","Chen Q, Shen Y, Zheng J.","Animal Model Exp Med. 2021 Sep 16;4(3):220-232. doi: 10.1002/ame2.12180. eCollection 2021 Sep.","Chen Q","Animal Model Exp Med","2021","2021/09/24","PMC8446696","","10.1002/ame2.12180"
"37371025","Genome Editing for Cystic Fibrosis","Wang G.","Cells. 2023 Jun 6;12(12):1555. doi: 10.3390/cells12121555.","Wang G","Cells","2023","2023/06/28","PMC10297084","","10.3390/cells12121555"
"36771186","Nutritional Care in Children with Cystic Fibrosis","Mariotti Zani E, Grandinetti R, Cunico D, Torelli L, Fainardi V, Pisi G, Esposito S.","Nutrients. 2023 Jan 17;15(3):479. doi: 10.3390/nu15030479.","Mariotti Zani E","Nutrients","2023","2023/02/11","PMC9921127","","10.3390/nu15030479"
"34717671","Gene therapy for cystic fibrosis: new tools for precision medicine","Lee JA, Cho A, Huang EN, Xu Y, Quach H, Hu J, Wong AP.","J Transl Med. 2021 Oct 30;19(1):452. doi: 10.1186/s12967-021-03099-4.","Lee JA","J Transl Med","2021","2021/10/31","PMC8556969","","10.1186/s12967-021-03099-4"
"36623819","Diagnosing Cystic Fibrosis in Adults","Barry PJ, Simmonds NJ.","Semin Respir Crit Care Med. 2023 Apr;44(2):242-251. doi: 10.1055/s-0042-1759881. Epub 2023 Jan 9.","Barry PJ","Semin Respir Crit Care Med","2023","2023/01/09","","","10.1055/s-0042-1759881"
"32512765","Molecular Diagnosis and Genetic Counseling of Cystic Fibrosis and Related Disorders: New Challenges","Bienvenu T, Lopez M, Girodon E.","Genes (Basel). 2020 Jun 4;11(6):619. doi: 10.3390/genes11060619.","Bienvenu T","Genes (Basel)","2020","2020/06/10","PMC7349214","","10.3390/genes11060619"
